FECHA,TIPO_INGRESO,LINEA_1,LINEA_2,LINEA_3,LINEA_4,LINEA_5,LINEA_6,LINEA_7,LINEA_8,LINEA_9,LINEA_A,LINEA_B,LINEA_12
16/04/2012,Boletos,1535700,1665987,1459596,199695,491175,374190,563715,880335,614820,626310,1041240,0
17/04/2012,Boletos,1344720,1487439,1263948,166515,415530,312060,494025,759840,548805,524220,834990,0
18/04/2012,Boletos,1340730,1496973,1247466,166080,402720,297285,492930,758163,550095,541845,864630,0
19/04/2012,Boletos,1299255,1477527,1223892,160320,393345,283830,469920,738900,528000,507360,836745,0
20/04/2012,Boletos,1386300,1560084,1274664,175605,414060,306645,500790,785223,543825,534090,900915,0
21/04/2012,Boletos,1402110,1531614,1115223,159600,382440,233700,400845,754821,484425,502320,918900,0
22/04/2012,Boletos,934395,943779,721743,96975,263685,145050,228705,480387,287445,337740,626595,0
23/04/2012,Boletos,1493910,1609047,1412355,190560,465525,350700,545355,849690,597165,599370,1002270,0
24/04/2012,Boletos,1310925,1469583,1242471,166650,403035,297030,477720,739893,537345,512325,824760,0
25/04/2012,Boletos,1312125,1465815,1239429,167370,395205,288195,474225,746211,536730,530835,859836,0
26/04/2012,Boletos,1301940,1466100,1231455,164655,393165,295620,474270,752640,539745,507540,858399,0
27/04/2012,Boletos,1449198,1617072,1322988,179505,442965,318345,521775,828618,589005,548955,950130,0
28/04/2012,Boletos,1446207,1624182,1193934,158415,405720,239145,413175,770373,518610,507885,958110,0
29/04/2012,Boletos,977760,1051491,759123,98955,267645,149535,242490,493749,308130,347205,655890,0
30/04/2012,Boletos,1524465,1576482,1317825,170670,418935,296040,501885,814824,564975,557580,992370,0
01/05/2012,Boletos,1014285,1068159,786954,111345,289350,164520,272685,543801,369315,345615,667005,0
02/05/2012,Boletos,1433100,1588314,1372881,180450,441300,333150,529965,827130,578460,590640,962925,0
03/05/2012,Boletos,1328145,1499373,1260321,167670,401670,293370,482010,778425,540675,517290,866790,0
04/05/2012,Boletos,1407795,1577112,1291176,173550,417990,305595,504090,792159,552930,534360,915990,0
05/05/2012,Boletos,1362600,1491450,1076226,153570,372270,220575,384000,722079,467310,471765,911550,0
06/05/2012,Boletos,945045,931890,705207,99075,266340,150345,234630,476442,299550,332925,637890,0
07/05/2012,Boletos,1523820,1666149,1436526,192135,464880,350235,557685,854946,606435,613200,1010940,0
08/05/2012,Boletos,1375605,1566756,1305168,173325,414840,304410,505845,770295,552315,555825,857775,0
09/05/2012,Boletos,1348875,1552137,1287081,176700,405465,293985,492735,770184,560760,565095,903630,0
10/05/2012,Boletos,1194975,1242153,1017675,149085,345375,225750,409290,710355,488910,455895,788190,0
11/05/2012,Boletos,1395540,1567020,1294071,172860,420480,305370,505305,809355,560700,547455,919935,0
12/05/2012,Boletos,1385775,1488150,1089204,150510,390210,228000,398175,735618,488160,481590,902595,0
13/05/2012,Boletos,902355,882870,685605,91095,268530,142875,216165,463101,285990,320745,608955,0
14/05/2012,Boletos,1627920,1681953,1450245,175260,441030,330870,551565,911895,611400,604755,1011345,0
15/05/2012,Boletos,1509900,1629402,1306725,170910,405570,288510,527175,824538,573975,538710,881970,0
16/05/2012,Boletos,1419885,1576710,1343883,176580,431775,321660,535125,829338,580635,584370,943380,0
17/05/2012,Boletos,1353555,1509672,1281246,167520,401865,295545,500535,778635,558060,522840,874710,0
18/05/2012,Boletos,1429905,1612983,1308858,175500,422670,303315,513045,812157,558000,543810,935820,0
19/05/2012,Boletos,1443660,1580985,1121733,157800,387315,232425,406095,773433,488505,495855,932385,0
20/05/2012,Boletos,976245,977166,740265,98115,273150,153885,236805,502860,301890,340695,650040,0
21/05/2012,Boletos,1520325,1654398,1468785,192765,469170,354180,558117,863172,610140,608610,1005255,0
22/05/2012,Boletos,1337340,1499556,1284474,170475,406935,301260,505053,765051,546450,537795,836190,0
23/05/2012,Boletos,1329495,1483560,1238256,165585,395970,297885,507420,759222,538725,552885,868305,0
24/05/2012,Boletos,1292505,1451616,1224021,163665,390840,292245,478230,749940,543150,505575,839760,0
25/05/2012,Boletos,1419780,1625349,1332834,173895,424800,312195,524235,822219,564780,548205,927525,0
26/05/2012,Boletos,1427550,1561389,1146888,159345,420660,257055,417375,771810,528315,510090,936135,0
27/05/2012,Boletos,968328,946551,737856,99675,289320,169080,236445,489162,298605,353145,633480,0
28/05/2012,Boletos,1541337,1721205,1476936,192570,477960,351660,572283,890379,616800,618438,1002030,0
29/05/2012,Boletos,1362990,1539000,1297170,167670,404970,306060,515412,782307,555195,521637,846090,0
30/05/2012,Boletos,1388625,1560645,1291500,170670,401550,305085,509595,809223,566850,554205,897600,0
31/05/2012,Boletos,1422060,1594065,1312065,173205,408270,312330,531030,825735,574290,542235,910440,0
01/06/2012,Boletos,1495005,1678200,1359921,184785,439650,325155,550350,870795,581895,573090,966360,0
